IPC Code,Description
A61F,"FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS ; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C ) [2006.01]"
A61G,"TRANSPORT, PERSONAL CONVEYANCES , OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS (appliances for aiding patients or disabled persons to walk A61H 3/00 ) ; OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES (embalming corpses A01N 1/00 )"
A61H,"PHYSICAL THERAPY APPARATUS , e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY; ARTIFICIAL RESPIRATION; MASSAGE; BATHING DEVICES FOR SPECIAL THERAPEUTIC OR HYGIENIC PURPOSES OR SPECIFIC PARTS OF THE BODY (electrotherapy, magnetotherapy, radiation therapy , ultrasound therapy A61N )"
A61J,CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES; DEVICES OR METHODS SPECIALLY ADAPTED FOR BRINGING PHARMACEUTICAL PRODUCTS INTO PARTICULAR PHYSICAL OR ADMINISTERING FORMS; DEVICES FOR ADMINISTERING FOOD OR MEDICINES ORALLY; BABY COMFORTERS; DEVICES FOR RECEIVING SPITTLE
A61K,"PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J 3/00 ; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L ; soap compositions C11D )"
A61L,"METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION, STERILISATION OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS OR SURGICAL ARTICLES (preservation of bodies or disinfecting characterised by the agents employed A01N ; preserving, e.g. sterilising, food or foodstuffs A23 ; preparations for medical, dental or toiletry purposes A61K ) [4]"
A61P,SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS [7]
A61Q,SPECIFIC USE OF COSMETICS OR SIMILAR TOILETRY PREPARATIONS [2006.01]
A61M,Subject matter not provided for in other groups of this subclass [2012.01]
A62C,"FIRE-FIGHTING (fire-extinguishing compositions, use of chemical substances in extinguishing fires A62D 1/00 ; spraying, applying liquids or other fluent materials to surfaces in general B05 ; fire-fighting aircraft B64D 1/16 ; alarm arrangements G08B , e.g. fire alarms actuated by smoke or gases G08B 17/10 )"
A62D,"CHEMICAL MEANS FOR EXTINGUISHING FIRES; PROCESSES FOR MAKING HARMFUL CHEMICAL SUBSTANCES HARMLESS, OR LESS HARMFUL, BY EFFECTING A CHEMICAL CHANGE; COMPOSITION OF MATERIALS FOR COVERINGS OR CLOTHING FOR PROTECTING AGAINST HARMFUL CHEMICAL AGENTS; COMPOSITION OF MATERIALS FOR TRANSPARENT PARTS OF GAS-MASKS, RESPIRATORS, BREATHING BAGS OR HELMETS; COMPOSITION OF CHEMICAL MATERIALS FOR USE IN BREATHING APPARATUS"
A62B,Subject matter not provided for in other groups of this subclass [2009.01]
A63B,"APPARATUS FOR PHYSICAL TRAINING, GYMNASTICS, SWIMMING, CLIMBING, OR FENCING; BALL GAMES; TRAINING EQUIPMENT ( apparatus for passive exercising, massage A61H )"
A63C,"SKATES; SKIS; ROLLER SKATES; DESIGN OR LAYOUT OF COURTS, RINKS OR THE LIKE (water skis B63B 32/00 , B63B 34/00 ) [5]"
A63D,"BOWLING GAMES, e.g. SKITTLES, BOCCE OR BOWLS; INSTALLATIONS THEREFOR; BAGATELLE OR SIMILAR GAMES; BILLIARDS (balls A63B 37/00 )"
A63F,"CARD, BOARD OR ROULETTE GAMES; INDOOR GAMES USING SMALL MOVING PLAYING BODIES; VIDEO GAMES; GAMES NOT OTHERWISE PROVIDED FOR [5]"
A63G,MERRY-GO-ROUNDS; SWINGS; ROCKING-HORSES (swings or rocking horses as nursery furniture A47D 13/10 ) ; CHUTES; SWITCHBACKS; SIMILAR DEVICES FOR PUBLIC AMUSEMENT
A63H,"TOYS , e.g. TOPS, DOLLS, HOOPS OR BUILDING BLOCKS"
A63J,"DEVICES FOR THEATRES, CIRCUSES, OR THE LIKE; CONJURING APPLIANCES OR THE LIKE"
A63K,RACING; RIDING SPORTS; EQUIPMENT OR ACCESSORIES THEREFOR (stop watches G04F 7/06 ; timing G07C 1/22 ; indicating arrangements for variable information by selection or combination of individual elements G09F 9/00 )
A99Z,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION [2006.01]
B01B,BOILING; BOILING APPARATUS
B01F,"MIXING, e.g. DISSOLVING, EMULSIFYING OR DISPERSING (mixing paints B44D 3/06 )"
B01J,"CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS OR COLLOID CHEMISTRY; THEIR RELEVANT APPARATUS [2]"
B01L,CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE
B02B,PREPARING GRAIN FOR MILLING; REFINING GRANULAR FRUIT TO COMMERCIAL PRODUCTS BY WORKING THE SURFACE (making dough from cereals directly A21C ; preservation or sterilisation of cereals A23B ; cleaning fruit A23N ; preparation of malt C12C )
B02C,"CRUSHING, PULVERISING, OR DISINTEGRATING IN GENERAL; MILLING GRAIN (obtaining metallic powder by crushing, grinding or milling B22F 9/04 )"
B03B,SEPARATING SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS
B03C,"MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS ; SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS (separating isotopes B01D 59/00 ; combinations of magnetic or electrostatic separation with separation of solids by other means B03B , B07B ) [5]"
B03D,FLOTATION ; DIFFERENTIAL SEDIMENTATION (in combination with other separation of solids B03B ; sink-float separation B03B 5/28 )
B04B,CENTRIFUGES (high-speed drum mills B02C 19/11 )
B04C,"APPARATUS USING FREE VORTEX FLOW, e.g. CYCLONES (exhaust or silencing apparatus for machines or engines having means for removing solid constituents of exhaust, using inertial or centrifugal separators F01N 3/037 ; cyclonic type combustion apparatus F23 )"
B05B,SPRAYING APPARATUS ; ATOMISING APPARATUS ; NOZZLES (spray-mixers with nozzles B01F 25/72 ; processes for applying liquids or other fluent materials to surfaces by spraying B05D ) [2]
B05C,"APPARATUS FOR APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL (spraying apparatus , atomising apparatus , nozzles B05B ; plant for applying liquids or other fluent materials to objects by electrostatic spraying B05B 5/08 ) [2]"
B05D,"PROCESSES FOR APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL (conveying articles or workpieces through baths of liquid B65G , e.g. B65G 49/02 ) [2]"
B07C,"POSTAL SORTING; SORTING INDIVIDUAL ARTICLES, OR BULK MATERIAL FIT TO BE SORTED PIECE-MEAL, e.g. BY PICKING (specially adapted for a specific purpose covered by another class, see the relevant place, e.g. A43D 33/06 , B23Q 7/12 )"
B08B,CLEANING IN GENERAL; PREVENTION OF FOULING IN GENERAL
B09B,DISPOSAL OF SOLID WASTE NOT OTHERWISE PROVIDED FOR [3]
B09C,"RECLAMATION OF CONTAMINATED SOIL (gatherers for removing stones or the like from the soil A01B 43/00 ; sterilising soil by steam A01G 11/00 ; removing undesirable matter, e.g. rubbish, from the land E01H 15/00 ) [6]"
B21B,"ROLLING OF METAL (auxiliary operations used in connection with metal-working operations covered in B21 , see B21C ; bending by rolling B21D ; manufacture of particular objects, e.g. screws, wheels, rings, barrels, balls, by rolling B21H ; pressure welding by means of a rolling mill B23K 20/04 )"
B21C,"MANUFACTURE OF METAL SHEETS, WIRE, RODS, TUBES, PROFILES OR LIKE SEMI-MANUFACTURED PRODUCTS OTHERWISE THAN BY ROLLING; AUXILIARY OPERATIONS USED IN CONNECTION WITH METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL"
B21D,"WORKING OR PROCESSING OF SHEET METAL OR METAL TUBES, RODS OR PROFILES WITHOUT ESSENTIALLY REMOVING MATERIAL ; PUNCHING METAL (working or processing of wire B21F )"
B21F,"WORKING OR PROCESSING OF METAL WIRE (rolling of metal B21B ; by drawing, auxiliary operations used in connection with metal-working without essentially removing material B21C ; bundling articles B65B 13/00 )"
B21G,"MAKING NEEDLES, PINS OR NAILS OF METAL"
B21H,"MAKING PARTICULAR METAL OBJECTS BY ROLLING, e.g. SCREWS, WHEELS, RINGS, BARRELS, BALLS (essentially from sheet metal B21D )"
B21J,"FORGING; HAMMERING; PRESSING METAL; RIVETING; FORGE FURNACES (rolling of metal B21B ; making particular products by forging or pressing B21K ; cladding or plating B23K ; finishing surfaces by hammering B23P 9/04 ; compacting surfaces by blasting with particulate material B24C 1/10 ; general features of presses, presses for consolidating scrap B30B ; furnaces in general F27 )"
B21K,"MAKING FORGED OR PRESSED METAL PRODUCTS , e.g. HORSE-SHOES, RIVETS, BOLTS OR WHEELS (making particular articles by working sheet metal without essentially removing material B21D ; processing wire B21F ; making pins, needles or nails B21G ; making particular articles by rolling B21H ; forging machines, pressing machines, hammering machines, in general B21J ; making chains B21L ; plating B23K )"
B21L,MAKING METAL CHAINS (making chains or chain links by casting B22D 25/02 ; chains in general F16G )
B22C,FOUNDRY MOULDING (moulding refractory materials in general B28B )
B22D,"CASTING OF METALS; CASTING OF OTHER SUBSTANCES BY THE SAME PROCESSES OR DEVICES (shaping of plastics or substances in a plastic state B29C ; metallurgical processing, selection of substances to be added to metal C21 , C22 )"
B22F,WORKING METALLIC POWDER; MANUFACTURE OF ARTICLES FROM METALLIC POWDER; MAKING METALLIC POWDER (making alloys by powder metallurgy C22C ) ; APPARATUS OR DEVICES SPECIALLY ADAPTED FOR METALLIC POWDER
B23B,"TURNING; BORING (using an electrode which takes the place of a tool B23H , e.g. making holes B23H 9/14 ; working by laser beam B23K 26/00 ; arrangements for copying or controlling B23Q )"
B23C,MILLING (broaching B23D ; broach-milling in making gears B23F ; arrangements for copying or controlling B23Q )
B23D,"PLANING; SLOTTING; SHEARING; BROACHING; SAWING; FILING; SCRAPING; LIKE OPERATIONS FOR WORKING METAL BY REMOVING MATERIAL , NOT OTHERWISE PROVIDED FOR (making toothed gears or the like B23F ; cutting metal by applying heat locally B23K ; arrangements for copying or controlling B23Q )"
B23F,"MAKING GEARS OR TOOTHED RACKS (by stamping B21D ; by rolling B21H ; by forging or pressing B21K ; by casting B22 ; arrangements for copying or controlling B23Q ; machines or devices for grinding or polishing, in general B24B )"
B23G,"THREAD CUTTING; WORKING OF SCREWS, BOLT HEADS OR NUTS, IN CONJUNCTION THEREWITH (thread-forming by corrugating tubes B21D 15/04 ; by rolling B21H 3/02 ; by forging, pressing or hammering B21K 1/56 ; making helical grooves by turning B23B 5/48 ; by milling B23C 3/32 ; by grinding B24B 19/02 ; arrangements for copying or controlling B23Q )"
B23H,"WORKING OF METAL BY THE ACTION OF A HIGH CONCENTRATION OF ELECTRIC CURRENT ON A WORKPIECE USING AN ELECTRODE WHICH TAKES THE PLACE OF A TOOL; SUCH WORKING COMBINED WITH OTHER FORMS OF WORKING OF METAL (processes for the electrolytic or electrophoretic production of coatings, electroforming, or apparatus therefor C25D ; processes for the electrolytic removal of material from objects C25F ; manufacturing printed circuits using precipitation techniques to apply the conductive material to form the desired conductive pattern H05K 3/18 ) [4]"
B23P,METAL-WORKING NOT OTHERWISE PROVIDED FOR; COMBINED OPERATIONS; UNIVERSAL MACHINE TOOLS ( arrangements for copying or controlling B23Q )
B23Q,"DETAILS, COMPONENTS, OR ACCESSORIES FOR MACHINE TOOLS, e.g. ARRANGEMENTS FOR COPYING OR CONTROLLING (tools of the kind used in lathes or boring machines B23B 27/00 ) ; MACHINE TOOLS IN GENERAL, CHARACTERISED BY THE CONSTRUCTION OF PARTICULAR DETAILS OR COMPONENTS; COMBINATIONS OR ASSOCIATIONS OF METAL-WORKING MACHINES, NOT DIRECTED TO A PARTICULAR RESULT"
B24C,ABRASIVE OR RELATED BLASTING WITH PARTICULATE MATERIAL
B24D,"TOOLS FOR GRINDING , BUFFING OR SHARPENING (abrading-bodies specially designed for tumbling apparatus , e.g. abrading-balls B24B 31/14 ; honing tools B24B 33/08 ; lapping tools B24B 37/11 )"
B25B,"TOOLS OR BENCH DEVICES NOT OTHERWISE PROVIDED FOR, FOR FASTENING, CONNECTING, DISENGAGING, OR HOLDING"
B25C,HAND-HELD NAILING OR STAPLING TOOLS; MANUALLY -OPERATED PORTABLE STAPLING TOOLS (manufacturing footwear A43D )
B25D,PERCUSSIVE TOOLS [2]
B25F,COMBINATION OR MULTI-PURPOSE TOOLS NOT OTHERWISE PROVIDED FOR; DETAILS OR COMPONENTS OF PORTABLE POWER-DRIVEN TOOLS NOT PARTICULARLY RELATED TO THE OPERATIONS PERFORMED AND NOT OTHERWISE PROVIDED FOR [4]
B25G,HANDLES FOR HAND IMPLEMENTS (attaching the blades or the like to handles of hand tools for soil working A01B 1/22 ; handles of hand implements for harvesting A01D 1/14 ; handles integral with brushware A46B )
B25H,"WORKSHOP EQUIPMENT, e.g. FOR MARKING-OUT WORK; STORAGE MEANS FOR WORKSHOPS"
B26D,"CUTTING; DETAILS COMMON TO MACHINES FOR PERFORATING, PUNCHING, CUTTING-OUT, STAMPING-OUT OR SEVERING (disintegrating by knives or other cutting or tearing members which chop material into fragments B02C 18/00 ; cutting by abrasive fluid jets B24C 5/02 ; hand-held cutting tools B26B ) [5]"
B27B,"SAWS FOR WOOD OR SIMILAR MATERIAL ; COMPONENTS OR ACCESSORIES THEREFOR (saws specially adapted for pruning or debranching A01G 3/08 ; sawing apparatus specially adapted for felling trees A01G 23/091 ; features not restricted to a particular type of wood saw B23D , e.g. attaching saw blades B23D 51/00 ; machine tool frames, beds, pillars or like members, in general B23Q 1/01 ) [5]"
B27C,"PLANING, DRILLING, MILLING, TURNING OR UNIVERSAL MACHINES FOR WOOD OR SIMILAR MATERIAL (machine tools in general B23 ; working wood using abrasive, e.g. sanding, devices B24 ; tools for these purposes B27G )"
B27D,"WORKING VENEER OR PLYWOOD (applying liquids or other fluent materials to surfaces in general B05 ; grinding, sanding, or polishing of wood B24 ; applying adhesives or glue to surfaces of wood B27G 11/00 ; manufacture of veneer B27L 5/00 )"
B27F,"DOVETAILED WORK; TENONS; SLOTTING MACHINES FOR WOOD OR SIMILAR MATERIAL ; NAILING OR STAPLING MACHINES (hand-held nailing or stapling tools B25C ; manufacture of cases, trunks or boxes from wood B27M 3/34 ; connections for building structures in general, e.g. dowels for use in building constructions E04B 1/38 ; jointing elements in general, e.g. dowels in general, F16B )"
B27G,"ACCESSORY MACHINES OR APPARATUS FOR WORKING WOOD OR SIMILAR MATERIALS ; TOOLS FOR WORKING WOOD OR SIMILAR MATERIALS (tools for grinding B24D ; sawing tools B27B 33/00 ; tools for slotting or mortising machines B27F 5/02 ; tools for the manufacture of wood shavings, chips, powder or the like B27L 11/00 ) ; SAFETY DEVICES FOR WOOD WORKING MACHINES OR TOOLS"
B27H,BENDING WOOD OR SIMILAR MATERIAL ; COOPERAGE; MAKING WHEELS FROM WOOD OR SIMILAR MATERIAL
B27J,"MECHANICAL WORKING OF CANE, CORK, OR SIMILAR MATERIALS"
B27K,"PROCESSES, APPARATUS OR SELECTION OF SUBSTANCES FOR IMPREGNATING , STAINING , DYEING OR BLEACHING OF WOOD , OR FOR TREATING OF WOOD WITH PERMEANT LIQUIDS, NOT OTHERWISE PROVIDED FOR; CHEMICAL OR PHYSICAL TREATMENT OF CORK, CANE, REED, STRAW OR SIMILAR MATERIALS [2]"
B27L,"REMOVING BARK OR VESTIGES OF BRANCHES (forestry A01G ) ; SPLITTING WOOD; MANUFACTURE OF VENEER, WOODEN STICKS, WOOD SHAVINGS, WOOD FIBRES OR WOOD POWDER"
B27M,WORKING OF WOOD NOT PROVIDED FOR IN SUBCLASSES B27B - B27L ; MANUFACTURE OF SPECIFIC WOODEN ARTICLES
B27N,"MANUFACTURE BY DRY PROCESSES OF ARTICLES, WITH OR WITHOUT ORGANIC BINDING AGENTS, MADE FROM PARTICLES OR FIBRES CONSISTING OF WOOD OR OTHER LIGNOCELLULOSIC OR LIKE ORGANIC MATERIAL (containing cementitious material B28B ; shaping of substances in a plastic state B29C ; fibreboards made from fibrous suspensions D21J ; drying F26B 17/00 ) [4]"
B28B,"SHAPING CLAY OR OTHER CERAMIC COMPOSITIONS; SHAPING SLAG; SHAPING MIXTURES CONTAINING CEMENTITIOUS MATERIAL , e.g. PLASTER (foundry moulding B22C ; working stone or stone-like material B28D ; shaping of substances in a plastic state, in general B29C ; making layered products not composed wholly of these substances B32B )"
B28D,"WORKING STONE OR STONE-LIKE MATERIALS (machinery for, or methods of, mining or quarrying E21C )"
B28C,General arrangement or layout of plant [2006.01]
B29B,PREPARATION OR PRETREATMENT OF THE MATERIAL TO BE SHAPED; MAKING GRANULES OR PREFORMS; RECOVERY OF PLASTICS OR OTHER CONSTITUENTS OF WASTE MATERIAL CONTAINING PLASTICS [4]
B29D,PRODUCING PARTICULAR ARTICLES FROM PLASTICS OR FROM SUBSTANCES IN A PLASTIC STATE (making granules B29B 9/00 ; making preforms B29B 11/00 ) [4]
B29K,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES B29B , B29C OR B29D , RELATING TO MOULDING MATERIALS OR TO MATERIALS FOR REINFORCEMENTS, FILLERS OR PREFORMED PARTS, e.g. INSERTS [4]"
B29L,"INDEXING SCHEME ASSOCIATED WITH SUBCLASS B29C , RELATING TO PARTICULAR ARTICLES [4]"
B30B,"PRESSES IN GENERAL; PRESSES NOT OTHERWISE PROVIDED FOR (producing ultra-high pressure or ultra-high pressure and high temperature to effect modifications of a substance, e.g. for making artificial diamonds B01J 3/00 ) [2]"
B31B,"MAKING CONTAINERS OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER (making wound articles, e.g. wound tubes, B31C ; combined making and filling B65B )"
